timu_ground timu_onboard ax_meas ay_meas az_meas wx_meas wy_meas wz_meas
0.000107 0.107710 0.794360 -0.088528 8.285751 0.023969 -0.011186 0.007990
0.000299 0.113049 0.722581 -0.064602 8.233113 0.021306 -0.013316 0.003729
0.000482 0.118074 0.880496 -0.050246 8.328819 0.021306 -0.011718 0.006924
0.000683 0.123053 0.873318 -0.064602 8.230720 0.021306 -0.011186 0.007457
0.000860 0.128073 0.729759 -0.086135 8.297714 0.018110 -0.011186 0.010120
0.001036 0.133339 0.806323 -0.117240 8.347960 0.021306 -0.011718 0.003729
0.001223 0.138261 0.870925 -0.045460 8.285751 0.019708 -0.010120 0.006392
0.001400 0.143571 0.784790 -0.045460 8.398206 0.019175 -0.014914 0.005859
0.001576 0.148538 0.724973 -0.071780 8.245076 0.022904 -0.016512 0.002131
0.001747 0.153728 0.748900 -0.129203 8.233113 0.022371 -0.013316 0.004261
0.001909 0.158743 0.861354 -0.031104 8.211579 0.022904 -0.013849 0.003196
0.002075 0.163894 0.858962 -0.081350 8.283358 0.019708 -0.013316 0.007990
0.002228 0.168944 0.739329 -0.141166 8.269002 0.020241 -0.010653 0.004261
0.002382 0.174058 0.756078 -0.083743 8.290536 0.019175 -0.011718 0.006924
0.002551 0.179079 0.882888 -0.057424 8.300107 0.022371 -0.013849 0.009055
0.002705 0.184299 0.803931 -0.052638 8.259432 0.024502 -0.013316 0.006392
0.002858 0.189259 0.727366 -0.093313 8.278573 0.019708 -0.011186 0.006924
0.003009 0.194419 0.818287 -0.016749 8.304892 0.021306 -0.012251 0.003729
0.003162 0.200304 0.904422 -0.052638 8.247468 0.022371 -0.013316 0.002663
0.003314 0.204575 0.863747 -0.050246 8.335997 0.022371 -0.007990 0.006392
0.003465 0.209605 0.751292 -0.136381 8.383850 0.021306 -0.011186 0.003196
0.003617 0.214765 0.727366 -0.133988 8.223542 0.021839 -0.013849 0.006392
0.003768 0.219775 0.844606 -0.014356 8.312070 0.021839 -0.014382 0.004794
0.003920 0.224917 0.844606 -0.093313 8.230720 0.020241 -0.012251 0.005859
0.004072 0.229934 0.689084 -0.119633 8.340782 0.020241 -0.012251 0.009588
0.004225 0.235304 0.782397 -0.062209 8.347960 0.020773 -0.014914 0.003729
0.004376 0.240109 0.870925 -0.047853 8.314463 0.022371 -0.011718 0.006924
0.004529 0.245279 0.820679 -0.081350 8.223542 0.023969 -0.012784 0.005859
0.004681 0.250262 0.677120 -0.131596 8.324033 0.018110 -0.013849 0.006924
0.004833 0.255445 0.818287 -0.093313 8.254646 0.017577 -0.011718 0.005326
0.004986 0.260560 0.825465 -0.050246 8.295322 0.021306 -0.013849 0.005859
0.005137 0.265815 0.827857 -0.047853 8.225935 0.020241 -0.012784 0.005859
0.005288 0.270825 0.708225 -0.110062 8.190045 0.020773 -0.011718 0.007457
0.005439 0.276386 0.835035 -0.066994 8.340782 0.023969 -0.011718 0.006924
0.005592 0.281358 0.909207 -0.033497 8.249861 0.024502 -0.012784 0.008522
0.005745 0.286529 0.818287 -0.057424 8.254646 0.022904 -0.011186 0.007990
0.005895 0.291484 0.794360 -0.114847 8.359923 0.022371 -0.011186 0.008522
0.006047 0.296391 0.799145 -0.105277 8.254646 0.021306 -0.012251 0.007457
0.006200 0.302733 0.849391 -0.004785 8.247468 0.022371 -0.009055 0.005859
0.006357 0.306581 0.875710 -0.062209 8.213971 0.023969 -0.012251 0.010120
0.006513 0.311538 0.756078 -0.114847 8.252254 0.018643 -0.013849 0.005859
0.006666 0.316498 0.744115 -0.133988 8.280966 0.021839 -0.011186 0.006392
0.006818 0.321508 0.844606 -0.035890 8.335997 0.020241 -0.012251 0.005859
0.006969 0.326511 0.861354 -0.059816 8.180474 0.021839 -0.013316 0.006924
0.007121 0.331515 0.736937 -0.102884 8.283358 0.021306 -0.010653 0.006392
0.007272 0.336522 0.796753 -0.066994 8.285751 0.021839 -0.013849 0.007990
0.007454 0.341523 0.875710 -0.071780 8.321641 0.022904 -0.013849 0.007990
0.007632 0.346641 0.748900 -0.186627 8.278573 0.020241 -0.012784 0.007990
0.007808 0.351566 0.746507 -0.155522 8.209186 0.021306 -0.013316 0.004261
0.007986 0.356597 0.835035 -0.088528 8.283358 0.020773 -0.012784 0.005859
0.008161 0.361579 0.858962 -0.088528 8.252254 0.022371 -0.012251 0.003729
0.008338 0.366613 0.760863 -0.136381 8.230720 0.023437 -0.012784 0.005859
0.008514 0.371620 0.803931 -0.095706 8.261824 0.019175 -0.013316 0.007990
0.008692 0.376795 0.835035 -0.031104 8.300107 0.019175 -0.010120 0.004794
0.008869 0.381782 0.811109 -0.088528 8.209186 0.024502 -0.010120 0.006924
0.009045 0.386742 0.698654 -0.102884 8.331211 0.018643 -0.011718 0.006392
0.009222 0.391750 0.744115 -0.055031 8.230720 0.022904 -0.010120 0.008522
0.009400 0.396744 0.890066 -0.052638 8.352745 0.020241 -0.012251 0.008522
0.009576 0.401742 0.784790 -0.126811 8.273788 0.020241 -0.014382 0.006924
0.009752 0.407464 0.741722 -0.083743 8.300107 0.020773 -0.011186 0.008522
0.009930 0.411789 0.849391 -0.088528 8.319248 0.021839 -0.012784 0.010653
0.010465 0.417054 0.842213 -0.055031 8.335997 0.021306 -0.010120 0.007457
0.010640 0.421882 0.756078 -0.105277 8.199615 0.020773 -0.014382 0.003196
0.010812 0.426897 0.720188 -0.066994 8.345567 0.021839 -0.012251 0.010653
0.010998 0.431885 0.878103 -0.112455 8.276180 0.022904 -0.009055 0.004794
0.011178 0.436904 0.806323 -0.086135 8.280966 0.019175 -0.010120 0.006392
0.011359 0.442163 0.753685 -0.131596 8.158940 0.022371 -0.011186 0.007990
0.011539 0.446919 0.813501 -0.095706 8.393420 0.018110 -0.011186 0.008522
0.011720 0.452089 0.825465 -0.057424 8.235505 0.022371 -0.012251 0.003196
0.011901 0.457028 0.789575 -0.055031 8.240291 0.019708 -0.013849 0.007457
0.012083 0.462050 0.736937 -0.124418 8.362316 0.020241 -0.010120 0.005326
0.012264 0.467046 0.806323 -0.078957 8.362316 0.020773 -0.011186 0.006924
0.012444 0.472063 0.875710 -0.064602 8.280966 0.020241 -0.013849 0.005859
0.012623 0.477087 0.780004 -0.090921 8.307285 0.023437 -0.010120 0.007457
0.012801 0.482077 0.780004 -0.136381 8.235505 0.021839 -0.013316 0.011186
0.012980 0.487251 0.770434 -0.088528 8.276180 0.021839 -0.011718 0.009588
0.013158 0.492193 0.849391 -0.069387 8.295322 0.020773 -0.010120 0.004261
0.013337 0.497395 0.799145 -0.122025 8.187652 0.019175 -0.013316 0.007457
0.013517 0.502207 0.708225 -0.095706 8.321641 0.019708 -0.013316 0.009588
0.013698 0.508834 0.717795 -0.093313 8.202008 0.021839 -0.011186 0.006392
0.013881 0.513134 0.925956 -0.033497 8.228327 0.019708 -0.013849 0.004261
0.014066 0.518140 0.772826 -0.126811 8.331211 0.020773 -0.011186 0.003729
0.014244 0.523175 0.715403 -0.105277 8.324033 0.020773 -0.010653 0.003196
0.014441 0.528263 0.787182 -0.119633 8.273788 0.020241 -0.014914 0.005859
0.014622 0.533207 0.846999 -0.040675 8.350352 0.020241 -0.014382 0.005326
0.014808 0.538226 0.854176 -0.105277 8.182867 0.020773 -0.012251 0.009588
0.014989 0.543219 0.736937 -0.114847 8.288144 0.020241 -0.013316 0.007457
0.015167 0.548239 0.689084 -0.052638 8.276180 0.021306 -0.010120 0.006392
0.015354 0.553264 0.873318 -0.040675 8.288144 0.022904 -0.009588 0.006392
0.015547 0.558253 0.770434 -0.062209 8.283358 0.018110 -0.011186 0.003729
0.015744 0.563425 0.724973 -0.083743 8.347960 0.022904 -0.016512 0.004794
0.015927 0.568376 0.753685 -0.047853 8.326426 0.022904 -0.011186 0.005859
0.016105 0.573385 0.892459 -0.071780 8.292929 0.020773 -0.012784 0.004261
0.016283 0.578380 0.815894 -0.150737 8.259432 0.023437 -0.014914 0.006392
0.016461 0.583411 0.782397 -0.102884 8.300107 0.021839 -0.013849 0.008522
0.016638 0.588421 0.832643 -0.009571 8.352745 0.020773 -0.009588 0.005859
0.016815 0.593410 0.861354 -0.131596 8.302499 0.023437 -0.010653 0.006392
0.016991 0.598578 0.765648 -0.098099 8.283358 0.019175 -0.013849 0.005859
0.017168 0.603638 0.729759 -0.052638 8.235505 0.021839 -0.014382 0.007457
0.017344 0.610317 0.724973 -0.078957 8.278573 0.021306 -0.011186 0.007990
0.017521 0.614323 0.892459 -0.081350 8.369494 0.021306 -0.014382 0.006392
0.017699 0.619323 0.763256 -0.105277 8.223542 0.021839 -0.012251 0.007457
0.017876 0.624340 0.770434 -0.083743 8.216364 0.023969 -0.011718 0.003729
0.018054 0.629430 0.835035 -0.107669 8.185260 0.021839 -0.010653 0.009588
0.018233 0.634356 0.837428 -0.100491 8.326426 0.021306 -0.013849 0.007457
0.018428 0.639465 0.768041 -0.035890 8.292929 0.021839 -0.012251 0.005859
0.018613 0.644360 0.796753 -0.071780 8.280966 0.020241 -0.012784 0.006392
0.018791 0.649411 0.808716 -0.093313 8.331211 0.019708 -0.010653 0.007457
0.018968 0.654359 0.808716 -0.057424 8.235505 0.022371 -0.012784 0.005326
0.019143 0.659376 0.691476 -0.117240 8.331211 0.020773 -0.009588 0.007457
0.019441 0.664371 0.775219 -0.050246 8.225935 0.021839 -0.012784 0.010120
0.019626 0.669394 0.925956 -0.028712 8.233113 0.021839 -0.010120 0.006392
0.019806 0.674379 0.803931 -0.126811 8.321641 0.020241 -0.012251 0.007990
0.019983 0.679409 0.705832 -0.098099 8.297714 0.020773 -0.013316 0.009588
0.020160 0.684535 0.791968 -0.102884 8.218757 0.022371 -0.013849 0.007457
0.020337 0.689474 0.827857 -0.052638 8.240291 0.019708 -0.014382 0.009588
0.020743 0.694487 0.849391 -0.112455 8.269002 0.024502 -0.014914 0.006392
0.020928 0.699487 0.722581 -0.023927 8.273788 0.020241 -0.009588 0.006924
0.021100 0.704525 0.823072 -0.081350 8.225935 0.024502 -0.010653 0.007990
0.021255 0.710228 0.811109 -0.119633 8.259432 0.023437 -0.015447 0.007457
0.021408 0.714690 0.777612 -0.141166 8.259432 0.020241 -0.010653 0.010653
0.021560 0.719753 0.803931 -0.105277 8.273788 0.021839 -0.013849 0.004794
0.021714 0.724854 0.925956 -0.100491 8.225935 0.020773 -0.011718 0.005859
0.021868 0.729876 0.825465 -0.102884 8.230720 0.019708 -0.014914 0.007990
0.022020 0.735164 0.763256 -0.088528 8.285751 0.022371 -0.012784 0.004794
0.022175 0.740055 0.772826 -0.105277 8.307285 0.023437 -0.011718 0.007457
0.022321 0.745216 0.849391 -0.066994 8.352745 0.025034 -0.011718 0.005859
0.022469 0.750243 0.818287 -0.064602 8.278573 0.021306 -0.012784 0.004794
0.022609 0.755427 0.806323 -0.122025 8.213971 0.020241 -0.012784 0.007457
0.022747 0.760440 0.775219 -0.138774 8.340782 0.024502 -0.012784 0.007457
0.022886 0.765605 0.823072 -0.069387 8.247468 0.021306 -0.012251 0.006924
0.023024 0.770594 0.806323 -0.119633 8.242683 0.022904 -0.012251 0.005326
0.023163 0.775886 0.744115 -0.129203 8.316855 0.020773 -0.011718 0.005859
0.023301 0.780783 0.808716 -0.031104 8.221149 0.021839 -0.011186 0.005326
0.023440 0.786341 0.849391 -0.052638 8.249861 0.020773 -0.013316 0.006392
0.023580 0.791060 0.880496 -0.095706 8.307285 0.022371 -0.011186 0.006392
0.023739 0.796114 0.756078 -0.093313 8.240291 0.020241 -0.012251 0.006392
0.023907 0.801101 0.794360 -0.095706 8.364708 0.020241 -0.011718 0.005859
0.024069 0.806290 0.882888 -0.038282 8.290536 0.021306 -0.013849 0.007990
0.024231 0.813752 0.854176 -0.011963 8.242683 0.021839 -0.010653 0.006924
0.024376 0.816473 0.713010 -0.076565 8.216364 0.020241 -0.010653 0.005859
0.024515 0.821482 0.765648 -0.057424 8.266610 0.022371 -0.012251 0.006392
0.024654 0.826706 0.890066 -0.086135 8.324033 0.021839 -0.012251 0.009588
0.024792 0.831652 0.772826 -0.162700 8.280966 0.019708 -0.011718 0.005326
0.024936 0.837147 0.724973 -0.095706 8.326426 0.021306 -0.011186 0.007990
0.025093 0.841895 0.717795 -0.124418 8.269002 0.021306 -0.008522 0.002131
0.025263 0.847091 0.878103 -0.040675 8.269002 0.020773 -0.014382 0.006392
0.025433 0.852092 0.835035 -0.050246 8.276180 0.020773 -0.014382 0.003729
0.025604 0.857251 0.780004 -0.117240 8.254646 0.022371 -0.012784 0.005859
0.025776 0.862305 0.775219 -0.055031 8.316855 0.019175 -0.014914 0.006392
0.025949 0.867440 0.818287 -0.074172 8.271395 0.020773 -0.012251 0.008522
0.026117 0.872458 0.760863 -0.122025 8.309677 0.021839 -0.011718 0.006924
0.026288 0.877742 0.835035 -0.148344 8.254646 0.021839 -0.014914 0.007457
0.026464 0.882630 0.818287 -0.102884 8.295322 0.020773 -0.012784 0.004261
0.026635 0.887797 0.801538 -0.038282 8.218757 0.022904 -0.012251 0.004794
0.026806 0.892786 0.801538 -0.043068 8.319248 0.020773 -0.012784 0.008522
0.026975 0.897972 0.681906 -0.165093 8.328819 0.023437 -0.013316 0.010120
0.027145 0.903039 0.789575 -0.069387 8.266610 0.018110 -0.009588 0.005859
0.027312 0.908140 0.870925 -0.002393 8.276180 0.020241 -0.012251 0.003196
0.027480 0.914577 0.835035 -0.124418 8.228327 0.022371 -0.011718 0.007457
0.027648 0.918897 0.780004 -0.153130 8.362316 0.022371 -0.016512 0.005859
0.027822 0.923696 0.765648 -0.119633 8.264217 0.021839 -0.013849 0.009588
0.027994 0.928740 0.849391 -0.052638 8.297714 0.021839 -0.010653 0.007990
0.028168 0.933711 0.851784 -0.114847 8.283358 0.022371 -0.008522 0.007457
