t x_meas y_meas z_meas q0_meas q1_meas q2_meas q3_meas ax_meas ay_meas az_meas wx_meas wy_meas wz_meas x y z q0 q1 q2 q3 vx vy vz ax ay az wx wy wz Fd u1 u2 u3 u4 M1 M2 M3 qdes0 qdes1 qdes2 qdes3
6.556998 0.876500 0.007600 0.435800 0.908460 -0.093960 -0.068720 -0.401420 2.265841 -0.791968 9.266738 0.034090 0.005326 0.002663 0.876480 0.007680 0.435820 0.908632 -0.093522 -0.068916 -0.401108 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.100000 0.100000 0.100000 0.000000 0.000000 0.000000 0.000000
6.844260 0.876300 0.007500 0.435800 0.908520 -0.093460 -0.067880 -0.401560 2.337620 -0.492886 9.295450 0.040481 0.003196 0.000000 0.876426 0.007626 0.435838 0.908644 -0.093727 -0.068731 -0.401069 0.022918 -0.000995 0.000385 0.000000 0.000000 0.000000 0.005397 -0.000436 -0.007612 9.541399 3.345703 1.415593 3.631023 1.149081 0.079954 0.085596 0.220603 0.999997 -0.000063 -0.002405 0.000000
6.857075 0.876800 0.007600 0.436100 0.908140 -0.091740 -0.068650 -0.402670 2.414185 -0.674728 9.522752 0.028763 0.002131 0.002131 0.876504 0.007619 0.435912 0.908553 -0.093271 -0.068646 -0.401397 0.027027 -0.002317 -0.000683 0.000000 0.000000 0.000000 0.002207 -0.001138 -0.007644 9.546380 3.348542 1.416733 3.632489 1.148616 0.080435 0.085184 0.220784 0.999996 -0.000197 -0.002824 0.000001
6.869188 0.876900 0.007400 0.435900 0.907960 -0.093760 -0.068730 -0.402620 2.404614 -1.691604 9.104038 0.036753 -0.004261 -0.063918 0.876623 0.007563 0.435900 0.908371 -0.093175 -0.068736 -0.401815 0.035686 -0.002545 0.001798 0.000000 0.000000 0.000000 0.002842 -0.002129 -0.020140 9.542638 3.364951 1.399498 3.647525 1.130664 0.080650 0.084772 0.224116 0.999993 -0.000221 -0.003710 0.000001
6.881589 0.877000 0.007400 0.436100 0.908420 -0.093350 -0.067790 -0.401830 1.093442 0.885281 9.962999 0.053265 -0.030361 -0.075636 0.876737 0.007503 0.435938 0.908303 -0.093244 -0.068395 -0.402011 0.022330 -0.003768 0.001474 0.000000 0.000000 0.000000 0.006839 -0.008154 -0.033642 9.543109 3.379254 1.378728 3.669328 1.115799 0.078879 0.087022 0.227703 0.999997 -0.000346 -0.002347 0.000001
6.893949 0.879900 0.006300 0.435300 0.908240 -0.088680 -0.083160 -0.400390 1.055159 -1.124546 8.883914 0.085756 -0.196547 -0.016512 0.877343 0.007262 0.435852 0.908269 -0.092301 -0.070967 -0.401859 0.019703 0.001544 0.005982 0.000000 0.000000 0.000000 0.016536 -0.043521 -0.036124 9.528340 3.358730 1.366309 3.687971 1.115330 0.075294 0.098772 0.228253 0.999998 0.000195 -0.002084 -0.000000
6.905770 0.880300 0.006500 0.435100 0.908060 -0.086640 -0.084460 -0.400980 2.122282 -1.112583 10.008460 0.061255 -0.246616 -0.038883 0.878120 0.007064 0.435722 0.908193 -0.090983 -0.074230 -0.401743 0.033414 -0.005218 -0.000314 0.000000 0.000000 0.000000 0.021237 -0.088017 -0.042653 9.541073 3.348542 1.357116 3.719624 1.115791 0.072398 0.111324 0.229763 0.999994 -0.000496 -0.003484 0.000002
6.916652 0.880700 0.006500 0.434700 0.907700 -0.086730 -0.085250 -0.401620 2.265841 -1.705960 8.347960 0.068179 -0.211461 -0.112389 0.878912 0.006839 0.435450 0.908105 -0.089957 -0.077566 -0.401542 0.046442 -0.007711 -0.003622 0.000000 0.000000 0.000000 0.028791 -0.125708 -0.062511 9.544646 3.354592 1.329021 3.763305 1.097728 0.069388 0.122614 0.234557 0.999988 -0.000751 -0.004813 0.000004
6.927375 0.881400 0.006500 0.435000 0.907150 -0.084790 -0.086680 -0.402970 2.146208 -0.543132 8.898270 0.035155 -0.160327 -0.144880 0.879815 0.006652 0.435257 0.907939 -0.088243 -0.081150 -0.401590 0.063933 -0.015482 -0.015494 0.000000 0.000000 0.000000 0.029255 -0.153754 -0.077038 9.569485 3.364949 1.313599 3.801407 1.089529 0.067221 0.130938 0.238161 0.999977 -0.001540 -0.006584 0.000010
6.938119 0.881900 0.006600 0.435300 0.908030 -0.085470 -0.088630 -0.400410 3.069771 -0.275155 8.632685 0.019708 -0.135293 -0.107595 0.880806 0.006481 0.435081 0.907827 -0.086656 -0.085273 -0.401336 0.061277 -0.011307 -0.016499 0.000000 0.000000 0.000000 0.023259 -0.173241 -0.083390 9.562241 3.355311 1.303207 3.822215 1.081508 0.066510 0.140071 0.239641 0.999979 -0.001116 -0.006318 0.000007
