t,ax,ay,az,wx,wy wz,x,y,z,q1,q2,q3,q4
0.0340359,1.04798,1.2035,8.64943,0.857564,-0.0511343,0.0974747,-0.0651,0.0173,1.2564,0.99961,0.01222,-0.00429,-0.02473
0.106424,1.27289,1.75621,8.54176,-0.596034,-0.143815,0.0916155,-0.0648,0.0176,1.2553,0.99937,0.02607,-0.0007,-0.02414
0.206658,1.83277,-0.9116,9.02508,0.29775,-0.322252,0.128368,-0.0645,0.0176,1.2537,0.99914,0.0347,-0.00563,-0.02219
0.306518,1.79688,0.662764,7.69955,0.192819,-0.373919,-0.00639178,-0.0647,0.018,1.2528,0.99922,0.03202,-0.01059,-0.02065
0.407023,1.79688,0.720188,7.70673,-0.722271,0.262596,-0.262063,-0.0653,0.0186,1.252,0.99952,0.02155,-0.01157,-0.01895
0.505172,0.590985,-0.227302,8.69489,-0.14488,0.292957,-0.331307,-0.067,0.0197,1.252,0.99965,0.01391,-0.01048,-0.01996
0.605008,0.24405,0.75847,8.42213,0.697237,-0.35794,0.0569934,-0.0682,0.0208,1.2529,0.99971,0.00909,-0.01285,-0.01808
0.704996,1.66289,1.14847,8.32164,0.392562,-0.078832,0.173111,-0.0681,0.0239,1.2556,0.99971,0.00516,-0.01798,-0.01507
0.804991,1.44277,1.66289,7.78329,0.249812,0.0980073,0.0639178,-0.0681,0.0233,1.2545,0.99943,0.01683,-0.02396,-0.01653
0.90501,2.78983,0.856569,7.96753,-0.268455,0.287098,0.0607219,-0.0687,0.0236,1.2549,0.99919,0.02502,-0.02693,-0.01656
1.00503,2.25148,0.925956,8.77864,0.2594,0.193351,0.019708,-0.0693,0.0221,1.2544,0.9986,0.03289,-0.03659,-0.01934
1.10502,2.88554,0.445033,9.27392,-0.479384,0.131032,-0.0154468,-0.0694,0.0208,1.2547,0.99837,0.03225,-0.04263,-0.02002
1.20501,3.04345,-0.7489,8.85281,-0.672202,-0.0532648,-0.148609,-0.0707,0.0191,1.2544,0.99847,0.03105,-0.04244,-0.01725
