DfilX DfilY DfilZ DfilQ1 DfilQ2 DfilQ3 DfilQ4 DfildX DfildY DfildZ DfildQ1 DfildQ2 DfildQ3 DfildQ4 w1 w2 w3 fF fL fB fR Eul0 Eul1 Eul2 Fpwm Lpwm Bpwm Rpwm My
-0.049235 0.012762 0.178092 0.982294 0.000574 0.187341 0.001184 -45.172512 11.708596 163.397170 180.248945 0.105369 34.376619 0.217171 -0.000000 0.000000 -0.000000 13.781774 0.000000 1.218226 0.000000 0.002732 0.376906 0.001690 1771779.000000 1000000.000000 1068220.000000 1000000.000000 -3.769065
-0.098510 0.025515 0.356173 0.982158 0.001909 0.188040 -0.001599 -45.187241 11.705611 163.393585 180.228302 0.300833 34.478978 -0.190432 -0.135761 -0.052560 0.183951 12.929639 0.000000 2.070361 0.000000 -0.002608 0.378338 0.003387 1724059.000000 1000000.000000 1115940.000000 1000000.000000 -3.257783
-0.147948 0.038418 0.534436 0.982345 0.001717 0.187047 -0.002848 -45.223565 11.738963 163.434017 180.259516 0.215685 34.314850 -0.233355 -0.303489 -0.015490 0.531045 13.513809 0.000000 1.486191 0.000000 -0.005325 0.376319 0.002482 1756773.000000 1000000.000000 1083226.000000 1000000.000000 -3.608286
-0.197436 0.051335 0.712715 0.982479 0.001854 0.186332 -0.003546 -45.234713 11.742083 163.437546 180.266663 0.257050 34.275999 -0.246594 -0.314616 0.173043 0.762760 16.631799 0.000000 0.000000 0.000000 -0.006746 0.374865 0.002495 1931380.000000 1000000.000000 1000000.000000 1000000.000000 -5.479080
-0.246939 0.064297 0.891034 0.982587 0.001297 0.185752 -0.004090 -45.238081 11.752229 163.446439 180.272951 0.112610 34.241991 -0.274718 -0.424342 0.319596 0.887850 19.054627 0.000000 0.000000 0.000000 -0.008116 0.373682 0.001105 2067059.000000 1000000.000000 1000000.000000 1000000.000000 -6.932776
-0.247248 0.064535 0.891292 0.982772 0.000862 0.184738 -0.005579 -0.074580 0.052175 0.056341 0.033630 -0.022709 -0.186571 -0.491647 0.139041 -0.380240 -0.974046 7.356255 0.000000 7.643745 0.000000 -0.011427 0.371615 -0.000393 1411950.000000 1000000.000000 1428049.000000 1000000.000000 0.086247
-0.247645 0.064834 0.891597 0.983089 -0.000354 0.183032 -0.005923 -0.088512 0.066632 0.068123 0.071036 -0.273072 -0.380336 -0.077220 -0.504084 -0.776992 -0.251218 0.685617 0.000000 14.314383 0.000000 -0.012622 0.368129 -0.003071 1038394.000000 1000000.000000 1801605.000000 1000000.000000 4.088630
-0.247947 0.064953 0.891729 0.983369 -0.001434 0.181498 -0.006464 -0.067508 0.026482 0.029614 0.062423 -0.243913 -0.345147 -0.122867 -0.430472 -0.704274 -0.330370 1.845281 0.000000 13.154719 0.000000 -0.014166 0.364991 -0.005532 1103335.000000 1000000.000000 1736664.000000 1000000.000000 3.392831
-0.248214 0.064934 0.891802 0.983688 -0.002827 0.179731 -0.006803 -0.059755 -0.003417 0.016576 0.071205 -0.312568 -0.394553 -0.079078 -0.580742 -0.805637 -0.269194 0.095635 0.000000 14.904365 0.000000 -0.015395 0.361375 -0.008559 1005355.000000 1000000.000000 1834644.000000 1000000.000000 4.442619
-0.248584 0.064777 0.891858 0.984054 -0.003665 0.177723 -0.006218 -0.081807 -0.033792 0.012778 0.080826 -0.186833 -0.445591 0.122583 -0.405145 -0.908923 0.172586 0.000000 0.000000 16.693957 0.000000 -0.014454 0.357285 -0.010060 1000000.000000 1000000.000000 1934861.000000 1000000.000000 5.516374
-0.248881 0.064573 0.891855 0.984372 -0.004097 0.175974 -0.005314 -0.065556 -0.044557 -0.000587 0.070538 -0.095490 -0.387247 0.194063 -0.251602 -0.789820 0.346029 0.231922 0.000000 14.768078 0.000000 -0.012690 0.353735 -0.010592 1012987.000000 1000000.000000 1827012.000000 1000000.000000 4.360847
-0.249056 0.064272 0.891786 0.984654 -0.004162 0.174420 -0.004116 -0.038441 -0.065755 -0.015293 0.062380 -0.014546 -0.343936 0.258752 -0.115558 -0.701350 0.502139 1.654011 0.000000 13.345989 0.000000 -0.010177 0.350591 -0.010256 1092624.000000 1000000.000000 1747375.000000 1000000.000000 3.507594
-0.249177 0.063968 0.891735 0.984802 -0.004125 0.173611 -0.002754 -0.026050 -0.066335 -0.011196 0.032612 0.009688 -0.175010 0.297634 -0.083031 -0.358426 0.588321 7.342264 0.000000 7.657736 0.000000 -0.007297 0.348962 -0.009664 1411166.000000 1000000.000000 1428833.000000 1000000.000000 0.094642
-0.249268 0.063810 0.891701 0.984860 -0.004309 0.173287 -0.001755 -0.019570 -0.034511 -0.007753 0.013172 -0.040811 -0.069474 0.217569 -0.155432 -0.143427 0.413854 10.914740 0.000000 4.085260 0.000000 -0.005266 0.348311 -0.009677 1611225.000000 1000000.000000 1228774.000000 1000000.000000 -2.048844
-0.249265 0.063535 0.891580 0.984838 -0.004094 0.173420 -0.001440 0.000479 -0.062390 -0.027394 -0.004975 0.049876 0.030570 0.070550 0.073642 0.061505 0.156496 14.334854 0.000000 0.665146 0.000000 -0.004528 0.348586 -0.009111 1802751.000000 1000000.000000 1037248.000000 1000000.000000 -4.100913
-0.249276 0.063296 0.891511 0.984777 -0.002984 0.173785 -0.002004 -0.002482 -0.054669 -0.015850 -0.014586 0.246687 0.081504 -0.124882 0.528855 0.167330 -0.159792 16.110964 0.000000 0.000000 0.000000 -0.005306 0.349328 -0.006997 1902213.000000 1000000.000000 1000000.000000 1000000.000000 -5.166578
-0.249308 0.062985 0.891443 0.984723 -0.001784 0.174103 -0.002275 -0.006933 -0.069196 -0.015188 -0.013041 0.264819 0.074056 -0.066135 0.544192 0.151831 -0.037833 15.863527 0.000000 0.000000 0.000000 -0.005431 0.349980 -0.004583 1888357.000000 1000000.000000 1000000.000000 1000000.000000 -5.018116
-0.249382 0.062659 0.891339 0.984751 -0.000690 0.173959 -0.001932 -0.016908 -0.073062 -0.023598 0.005875 0.238174 -0.031688 0.074167 0.443410 -0.063635 0.228915 12.267645 0.000000 2.732355 0.000000 -0.004306 0.349694 -0.002163 1686988.000000 1000000.000000 1153011.000000 1000000.000000 -2.860587
-0.249485 0.062264 0.891213 0.984815 0.000923 0.173601 -0.001382 -0.023387 -0.088470 -0.028323 0.014597 0.354460 -0.079215 0.120692 0.656443 -0.159889 0.360975 10.651387 0.000000 4.348613 0.000000 -0.002555 0.348973 0.001425 1596477.000000 1000000.000000 1243522.000000 1000000.000000 -1.890832
-0.249577 0.062069 0.891206 0.984901 0.002094 0.173100 -0.001116 -0.020545 -0.042655 -0.001654 0.019827 0.254585 -0.111018 0.057614 0.481701 -0.224739 0.202135 9.553636 0.000000 5.446364 0.000000 -0.001567 0.347957 0.003978 1535003.000000 1000000.000000 1304996.000000 1000000.000000 -1.232182
-0.249688 0.061867 0.891155 0.985029 0.002705 0.172365 -0.000877 -0.024892 -0.043864 -0.011577 0.028384 0.135485 -0.162678 0.047058 0.250823 -0.329778 0.140342 7.778101 0.000000 7.221899 0.000000 -0.000846 0.346464 0.005345 1435573.000000 1000000.000000 1404426.000000 1000000.000000 -0.166860
-0.249719 0.061783 0.891108 0.985139 0.003118 0.171726 -0.001215 -0.007357 -0.018965 -0.010952 0.024756 0.093977 -0.144559 -0.073787 0.210700 -0.293555 -0.112143 8.360222 0.000000 6.639778 0.000000 -0.001406 0.345168 0.006086 1468172.000000 1000000.000000 1371827.000000 1000000.000000 -0.516133
-0.249717 0.061776 0.891089 0.985166 0.003306 0.171562 -0.002051 0.000264 -0.001015 -0.004581 0.005566 0.042505 -0.034116 -0.189627 0.148918 -0.070210 -0.358795 12.077211 0.000000 2.922789 0.000000 -0.003089 0.344842 0.006174 1676323.000000 1000000.000000 1163676.000000 1000000.000000 -2.746326
-0.249692 0.061908 0.891161 0.985176 0.003049 0.171499 -0.002827 0.005433 0.029031 0.015353 0.001872 -0.054759 -0.011743 -0.176626 -0.047258 -0.025167 -0.366715 12.825818 0.000000 2.174182 0.000000 -0.004808 0.344716 0.005352 1718245.000000 1000000.000000 1121754.000000 1000000.000000 -3.195491
-0.249683 0.062150 0.891228 0.985206 0.003343 0.171286 -0.004447 0.001770 0.053826 0.014601 0.006083 0.067890 -0.045611 -0.366651 0.259741 -0.093805 -0.698836 11.674860 0.000000 3.325140 0.000000 -0.008092 0.344296 0.005380 1653792.000000 1000000.000000 1186207.000000 1000000.000000 -2.504916
-0.249597 0.062510 0.891321 0.985214 0.002607 0.171226 -0.005263 0.018569 0.079525 0.020785 0.001694 -0.164020 -0.012644 -0.184948 -0.259730 -0.028184 -0.420511 12.766429 0.000000 2.233571 0.000000 -0.010069 0.344170 0.003542 1714919.000000 1000000.000000 1125080.000000 1000000.000000 -3.159857
-0.249582 0.062966 0.891527 0.985179 0.001097 0.171435 -0.005546 0.002969 0.099889 0.044890 -0.008007 -0.329495 0.046627 -0.071041 -0.625365 0.090807 -0.253141 14.756431 0.000000 0.243569 0.000000 -0.011210 0.344579 0.000277 1826360.000000 1000000.000000 1013639.000000 1000000.000000 -4.353859
-0.249489 0.063523 0.891705 0.985113 0.000500 0.171779 -0.006662 0.020761 0.122628 0.038623 -0.014905 -0.121324 0.076070 -0.258662 -0.151169 0.153120 -0.551580 15.806482 0.000000 0.000000 0.000000 -0.013767 0.345269 -0.001386 1885163.000000 1000000.000000 1000000.000000 1000000.000000 -4.983889
-0.249374 0.064068 0.891843 0.985014 -0.000213 0.172298 -0.007768 0.025517 0.120346 0.030032 -0.021871 -0.148577 0.114750 -0.256136 -0.206230 0.231399 -0.556085 17.128482 0.000000 0.000000 0.000000 -0.016348 0.346310 -0.003292 1959194.000000 1000000.000000 1000000.000000 1000000.000000 -5.777089
-0.249194 0.064657 0.891918 0.984892 -0.001762 0.172978 -0.007961 0.039886 0.129170 0.015852 -0.027062 -0.331951 0.151163 -0.050845 -0.638783 0.302015 -0.214892 18.327948 0.000000 0.000000 0.000000 -0.017329 0.347662 -0.006620 2026365.000000 1000000.000000 1000000.000000 1000000.000000 -6.496769
-0.249109 0.065120 0.891877 0.984746 -0.004445 0.173762 -0.007924 0.018857 0.101362 -0.010743 -0.034678 -0.600658 0.177586 0.005423 -1.187997 0.352239 -0.197033 19.190759 0.000000 0.000000 0.000000 -0.018253 0.349207 -0.012248 2074682.000000 1000000.000000 1000000.000000 1000000.000000 -7.014455
-0.249012 0.065578 0.891758 0.984648 -0.007260 0.174262 -0.006972 0.021131 0.101442 -0.027428 -0.025934 -0.637284 0.114620 0.215545 -1.332098 0.222745 0.203665 17.048859 0.000000 0.000000 0.000000 -0.017311 0.350187 -0.017808 1954736.000000 1000000.000000 1000000.000000 1000000.000000 -5.729315
-0.249068 0.065762 0.891494 0.984612 -0.010451 0.174381 -0.004570 -0.012030 0.041178 -0.058476 -0.009583 -0.722803 0.029433 0.536790 -1.611043 0.043477 0.805502 14.065068 0.000000 0.934932 0.000000 -0.013462 0.350427 -0.023610 1787643.000000 1000000.000000 1052356.000000 1000000.000000 -3.939041
-0.249095 0.066000 0.891264 0.984600 -0.013596 0.174283 -0.001935 -0.005332 0.054023 -0.050480 -0.002696 -0.715104 -0.018621 0.590544 -1.614027 -0.054553 0.913121 12.428525 0.000000 2.571475 0.000000 -0.009102 0.350264 -0.029225 1695997.000000 1000000.000000 1144002.000000 1000000.000000 -2.957115
-0.249249 0.066235 0.891144 0.984536 -0.016532 0.174402 0.000628 -0.033049 0.054342 -0.026380 -0.011338 -0.671518 0.029140 0.574022 -1.522826 0.043198 0.897039 14.062755 0.000000 0.937245 0.000000 -0.004824 0.350567 -0.034434 1787514.000000 1000000.000000 1052485.000000 1000000.000000 -3.937653
-0.249329 0.066766 0.890914 0.984543 -0.018749 0.174112 0.002999 -0.016741 0.119133 -0.048917 0.003187 -0.493742 -0.064144 0.526391 -1.155787 -0.144192 0.862150 10.931145 0.000000 4.068855 0.000000 -0.000663 0.350061 -0.038200 1612144.000000 1000000.000000 1227855.000000 1000000.000000 -2.058687
