t ax ay az w1 w2 w3
0.003915 0.330186 0.133988 8.522623 1.220740 -0.610370 0.488296
0.014920 0.306259 0.210553 8.572869 1.251259 -0.701926 0.732444
0.024216 0.368468 0.200983 8.522623 1.190222 -0.701926 0.488296
0.033319 0.224909 0.229695 8.565691 1.342814 -0.701926 0.793481
0.043080 0.334971 0.181841 8.544157 1.281777 -0.518815 0.488296
0.050863 0.315830 0.172271 8.568084 1.373333 -0.549333 0.671407
0.058347 0.323008 0.251228 8.584832 1.556444 -0.579852 0.610370
0.065864 0.361290 0.272762 8.663790 1.312296 -0.732444 0.518815
0.074653 0.323008 -0.011963 8.414954 1.434370 -0.518815 0.640889
0.083739 0.162700 -0.062209 8.505875 1.586962 -0.671407 0.610370
0.093069 0.162700 -0.069387 8.431703 1.342814 -0.610370 0.885037
0.101990 0.248836 0.074172 8.527409 1.251259 -0.579852 0.701926
0.112233 0.303867 0.198590 8.462807 1.312296 -0.762963 0.671407
0.121325 0.296689 0.150737 8.450844 1.403851 -0.640889 0.488296
0.130297 0.368468 0.196197 8.515445 1.342814 -0.640889 0.640889
0.139058 0.334971 0.181841 8.501090 1.312296 -0.549333 0.701926
0.148118 0.189019 0.174664 8.505875 1.342814 -0.793481 0.579852
0.157072 0.241658 0.232087 8.551335 1.403851 -0.457778 0.701926
0.165959 0.296689 0.150737 8.460414 1.342814 -0.549333 0.640889
0.174867 0.342149 0.138774 8.469985 1.190222 -0.610370 0.549333
0.183787 0.251228 0.129203 8.510660 1.220740 -0.854518 0.457778
0.192733 0.215339 0.157915 8.615937 1.312296 -0.671407 0.610370
0.201587 0.313437 0.150737 8.572869 1.403851 -0.701926 0.579852
0.210502 0.342149 0.270370 8.501090 1.281777 -0.549333 0.640889
0.219404 0.294296 0.208161 8.637471 1.464888 -0.824000 0.579852
0.228348 0.220124 0.169878 8.582440 1.373333 -0.640889 0.549333
0.237194 0.370861 0.114847 8.541765 1.342814 -0.549333 0.640889
0.245493 0.375646 0.160308 8.522623 1.251259 -0.488296 0.671407
0.253665 0.342149 0.150737 8.541765 1.190222 -0.732444 0.579852
0.261263 0.318223 0.167486 8.517838 1.220740 -0.579852 0.396741
0.269432 0.282333 0.122025 8.534587 1.403851 -0.579852 0.610370
0.277616 0.234480 0.148344 8.455629 1.373333 -0.610370 0.488296
0.285218 0.294296 0.117240 8.613544 1.220740 -0.518815 0.824000
0.292806 0.205768 0.174664 8.548943 1.403851 -0.579852 0.671407
0.300977 0.325401 0.124418 8.553728 1.434370 -0.671407 0.518815
0.308592 0.337364 0.232087 8.572869 1.342814 -0.549333 0.610370
0.316192 0.378039 0.150737 8.556120 1.342814 -0.732444 0.640889
0.323785 0.301474 0.157915 8.498697 1.251259 -0.549333 0.671407
0.331945 0.315830 0.167486 8.510660 1.403851 -0.488296 0.732444
0.339541 0.342149 0.165093 8.465200 1.251259 -0.610370 0.610370
0.347655 0.253621 0.198590 8.580047 1.312296 -0.549333 0.610370
0.355814 0.258406 0.186627 8.515445 1.403851 -0.549333 0.824000
